ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Query,Pred_LLM
44,Bruno Mars,Career_error,VisTxtParam,"
Singer, architect, producer.",S,mis_knowledge2,"singer, songwriter, and record producer",0,0,13,Actor/Artist,18870,Actor,What is the occupation of this entity?,INCORRECT
45,Adele,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge1,singer-songwriter,0,0,13,Unknown occupation.,13790,Unknown,What is the occupation of this entity?,INCORRECT
45,Adele,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge2,singer-songwriter,0,0,13,Unknown occupation.,13790,Unknown,What is the occupation of this entity?,INCORRECT
46,Harry Styles,Career_error,VisParam_TxtCont,"
Actor, singer, songwriter.",Actor,mis_knowledge1,"singer, songwriter, and actor",0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
46,Harry Styles,Career_error,VisCont_TxtParam,"
Singer, actor, architect.",S,mis_knowledge2,"singer, songwriter, and actor",0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
47,Shawn Mendes,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,singer-songwriter and musician,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
47,Shawn Mendes,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,singer-songwriter and musician,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
48,Billie Eilish,Career_error,VisTxtCont,"
Professional dancer.",Professional,mis_knowledge1,singer-songwriter,0,0,13,Politician.,96347,Polit,What is the occupation of this entity?,INCORRECT
48,Billie Eilish,Career_error,VisCont_TxtParam,"
Novelist.",Nov,mis_knowledge2,singer-songwriter,0,0,13,Politician.,96347,Polit,What is the occupation of this entity?,INCORRECT
49,Serena Williams,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge1,professional tennis player,0,0,13,Professional tennis player.,57513,Professional,What is the occupation of this entity?,CORRECT
49,Serena Williams,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge2,professional tennis player,0,0,13,Professional tennis player.,57513,Professional,What is the occupation of this entity?,CORRECT
50,Roger Federer,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge1,retired professional tennis player,0,0,13,Actor,18870,Actor,What is the occupation of this entity?,INCORRECT
50,Roger Federer,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge2,retired professional tennis player,0,0,13,Actor,18870,Actor,What is the occupation of this entity?,INCORRECT
51,Novak Djokovic,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge1,professional tennis player,0,0,13,Writer/Artist/Actor.,6492,Writer,What is the occupation of this entity?,INCORRECT
51,Novak Djokovic,Career_error,VisTxtParam,"
Professional tennis player.",Professional,mis_knowledge2,professional tennis player,0,0,13,Writer/Artist/Actor.,6492,Writer,What is the occupation of this entity?,INCORRECT
52,Kobe Bryant,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge1,former professional basketball player,0,0,13,Basketball player.,73649,Basket,What is the occupation of this entity?,CORRECT
52,Kobe Bryant,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge2,former professional basketball player,0,0,13,Basketball player.,73649,Basket,What is the occupation of this entity?,CORRECT
53,Stephen Curry,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge1,professional basketball player,0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
53,Stephen Curry,Career_error,VisParam_TxtCont,"
Professional basketball player",Professional,mis_knowledge2,professional basketball player,0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
54,Usain Bolt,Career_error,VisTxtCont,"
Retired footballer",Ret,mis_knowledge1,retired sprinter,0,0,13,Engineer.,4571,Engine,What is the occupation of this entity?,INCORRECT
54,Usain Bolt,Career_error,VisTxtParam,"
Retired athlete",Ret,mis_knowledge2,retired sprinter,0,0,13,Engineer.,4571,Engine,What is the occupation of this entity?,INCORRECT
55,Simone Biles,Career_error,VisParam_TxtCont,"
Gymnast",G,mis_knowledge1,gymnast,0,0,13,Athlete,85240,Ath,What is the occupation of this entity?,CORRECT
55,Simone Biles,Career_error,VisTxtCont,"
Basketball player.",Basket,mis_knowledge2,gymnast,0,0,13,Athlete,85240,Ath,What is the occupation of this entity?,CORRECT
56,Lewis Hamilton,Career_error,VisParam_TxtCont,"
Professional racer.",Professional,mis_knowledge1,Formula 1 racing driver,0,0,13,Scientist,50565,Scient,What is the occupation of this entity?,INCORRECT
56,Lewis Hamilton,Career_error,VisParam_TxtCont,"
Formula One driver.",Formula,mis_knowledge2,Formula 1 racing driver,0,0,13,Scientist,50565,Scient,What is the occupation of this entity?,INCORRECT
57,Virat Kohli,Career_error,VisParam_TxtCont,"
Cricket player",Cr,mis_knowledge1,cricketer,0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
57,Virat Kohli,Career_error,VisParam_TxtCont,"
Cricket player",Cr,mis_knowledge2,cricketer,0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
60,Jack Ma,Career_error,VisParam_TxtCont,"
Entrepreneur",Entre,mis_knowledge1,"[business magnate, investor, and philanthropist]",0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
60,Jack Ma,Career_error,VisParam_TxtCont,"
Entrepreneur",Entre,mis_knowledge2,"[business magnate, investor, and philanthropist]",0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
61,Tim Cook,Career_error,VisParam_TxtCont,"
CEO of Apple.",CEO,mis_knowledge1,business executive and CEO of Apple Inc,0,0,13,Chef.,93903,Chef,What is the occupation of this entity?,INCORRECT
61,Tim Cook,Career_error,VisTxtParam,"
CEO of Apple.",CEO,mis_knowledge2,business executive and CEO of Apple Inc,0,0,13,Chef.,93903,Chef,What is the occupation of this entity?,INCORRECT
62,Satya Nadella,Career_error,VisTxtParam,"
Business executive.",Business,mis_knowledge1,business executive and the CEO of Microsoft,0,0,13,Writer/Artist/Actor.,6492,Writer,What is the occupation of this entity?,INCORRECT
62,Satya Nadella,Career_error,VisTxtParam,"
Business executive.",Business,mis_knowledge2,business executive and the CEO of Microsoft,0,0,13,Writer/Artist/Actor.,6492,Writer,What is the occupation of this entity?,INCORRECT
63,Michelle Obama,Career_error,VisParam_TxtCont,"
Former First Lady.",Former,mis_knowledge1,"lawyer, author, and former First Lady of the United States",0,0,13,Actress.,2414,Act,What is the occupation of this entity?,INCORRECT
63,Michelle Obama,Career_error,VisParam_TxtCont,"
Former First Lady.",Former,mis_knowledge2,"lawyer, author, and former First Lady of the United States",0,0,13,Actress.,2414,Act,What is the occupation of this entity?,INCORRECT
64,Donald Trump,Career_error,VisTxtParam,"
Politician.",Polit,mis_knowledge1,"businessman, television personality, and politician",0,0,13,Actor/Artist,18870,Actor,What is the occupation of this entity?,INCORRECT
64,Donald Trump,Career_error,VisTxtCont,"
President",President,mis_knowledge2,"businessman, television personality, and politician",0,0,13,Actor/Artist,18870,Actor,What is the occupation of this entity?,INCORRECT
65,Justin Trudeau,Career_error,VisTxtCont,"
President of Canada",President,mis_knowledge1,Prime Minister of Canada,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
65,Justin Trudeau,Career_error,VisParam_TxtCont,"
Politician.",Polit,mis_knowledge2,Prime Minister of Canada,0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
66,Angela Merkel,Career_error,VisTxtParam,"
Former Chancellor.",Former,mis_knowledge1,politician and former Chancellor of Germany,0,0,13,Journalist.,43494,Journal,What is the occupation of this entity?,INCORRECT
66,Angela Merkel,Career_error,VisParam_TxtCont,"
Former Chancellor.",Former,mis_knowledge2,politician and former Chancellor of Germany,0,0,13,Journalist.,43494,Journal,What is the occupation of this entity?,INCORRECT
68,Malala Yousafzai,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,activist for female education and the youngest Nobel Prize laureate,0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
68,Malala Yousafzai,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,activist for female education and the youngest Nobel Prize laureate,0,0,13,Unknown.,13790,Unknown,What is the occupation of this entity?,INCORRECT
70,Ellen DeGeneres,Career_error,VisParam_TxtCont,"
Television host.",Te,mis_knowledge1,"comedian, television host, actress, and writer",0,0,13,Writer/Author,6492,Writer,What is the occupation of this entity?,INCORRECT
70,Ellen DeGeneres,Career_error,VisTxtParam,"
Comedian, host.",Com,mis_knowledge2,"comedian, television host, actress, and writer",0,0,13,Writer/Author,6492,Writer,What is the occupation of this entity?,INCORRECT
71,Jimmy Fallon,Career_error,VisTxtParam,"
Television host.",Te,mis_knowledge1,"comedian, actor, and television host",0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
71,Jimmy Fallon,Career_error,VisTxtParam,"
Comedian, host.",Com,mis_knowledge2,"comedian, actor, and television host",0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
72,Stephen Colbert,Career_error,VisParam_TxtCont,"
Television host.",Te,mis_knowledge1,"comedian, actor, and television host",0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
72,Stephen Colbert,Career_error,VisTxtParam,"
Comedian, host.",Com,mis_knowledge2,"comedian, actor, and television host",0,0,13,Writer/Author.,6492,Writer,What is the occupation of this entity?,INCORRECT
73,Conan O'Brien,Career_error,VisParam_TxtCont,"
Television host.",Te,mis_knowledge1,"comedian, writer, producer, and television host",0,0,13,Detective.,57193,Detect,What is the occupation of this entity?,INCORRECT
73,Conan O'Brien,Career_error,VisTxtParam,"
Comedian, writer, producer.",Com,mis_knowledge2,"comedian, writer, producer, and television host",0,0,13,Detective.,57193,Detect,What is the occupation of this entity?,INCORRECT
74,Trevor Noah,Career_error,VisParam_TxtCont,"
Television host",Te,mis_knowledge1,"comedian, television host, and author",0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
74,Trevor Noah,Career_error,VisTxtParam,"
Comedian, architect, author.",Com,mis_knowledge2,"comedian, television host, and author",0,0,13,Actor.,18870,Actor,What is the occupation of this entity?,INCORRECT
75,John Cena,Career_error,VisParam_TxtCont,"
Professional wrestler.",Professional,mis_knowledge1,professional wrestler and actor,0,0,13,Not specified.,2623,Not,What is the occupation of this entity?,INCORRECT
75,John Cena,Career_error,VisTxtParam,"
Professional wrestler.",Professional,mis_knowledge2,professional wrestler and actor,0,0,13,Not specified.,2623,Not,What is the occupation of this entity?,INCORRECT
76,Floyd Mayweather,Career_error,VisTxtParam,"
Boxer",Box,mis_knowledge1,professional boxer,0,0,13,Actor,18870,Actor,What is the occupation of this entity?,INCORRECT
76,Floyd Mayweather,Career_error,VisParam_TxtCont,"
Boxer",Box,mis_knowledge2,professional boxer,0,0,13,Actor,18870,Actor,What is the occupation of this entity?,INCORRECT
77,Gordon Ramsay,Career_error,VisParam_TxtCont,"
Chef.",Chef,mis_knowledge2,"chef, restaurateur, and television personality",0,0,13,Footballer,86323,Football,What is the occupation of this entity?,INCORRECT
78,Jamie Oliver,Career_error,VisParam_TxtCont,"
Chef.",Chef,mis_knowledge1,"[chef, restaurateur, and media personality]",0,0,13,Actor/Writer,18870,Actor,What is the occupation of this entity?,INCORRECT
