ID,Entity,Category,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken
35,Benedict Cumberbatch,location_error,VisTxtCont,"
Scottish.",Scott,mis_knowledge2,British,18,18,9,British actor.,51861,British
35,Benedict Cumberbatch,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge1,actor,18,18,9,Actor/Actress.,18870,Actor
35,Benedict Cumberbatch,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,18,18,9,Actor/Actress.,18870,Actor
36,Keanu Reeves,Temporal_error,VisTxtCont,"
1965.",1,mis_knowledge1,1964,18,18,9,1964,16,1
36,Keanu Reeves,Temporal_error,VisTxtCont,"
1963.",1,mis_knowledge2,1964,18,18,9,1964,16,1
36,Keanu Reeves,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge1,actor,18,18,9,Actor/Actress,18870,Actor
36,Keanu Reeves,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,actor,18,18,9,Actor/Actress,18870,Actor
37,Ryan Reynolds,Career_error,VisTxtParam,"
Actor",Actor,mis_knowledge1,actor and producer,18,18,9,Actor/Actress,18870,Actor
37,Ryan Reynolds,Career_error,VisTxtParam,"
Actor",Actor,mis_knowledge2,actor and producer,18,18,9,Actor/Actress,18870,Actor
38,Hugh Jackman,Career_error,VisTxtParam,"
Actor, singer, producer.",Actor,mis_knowledge1,"actor, singer, and producer",18,18,9,Actor/Actress.,18870,Actor
38,Hugh Jackman,Career_error,VisTxtParam,"
Actor.",Actor,mis_knowledge2,"actor, singer, and producer",18,18,9,Actor/Actress.,18870,Actor
39,Priyanka Chopra,location_error,VisTxtCont,"
Pakistani.",P,mis_knowledge1,Indian,18,18,9,Indian actress,47564,Indian
39,Priyanka Chopra,location_error,VisTxtCont,"
Bangladeshi.",Bang,mis_knowledge2,Indian,18,18,9,Indian actress,47564,Indian
39,Priyanka Chopra,Career_error,VisParam_TxtCont,"
Actress",Act,mis_knowledge1,"actress, producer, and former Miss World",18,18,9,Actress.,2414,Act
39,Priyanka Chopra,Career_error,VisTxtParam,"
Actress",Act,mis_knowledge2,"actress, producer, and former Miss World",18,18,9,Actress.,2414,Act
40,Nicki Minaj,Career_error,VisTxtParam,"
Singer-songwriter.",S,mis_knowledge1,"rapper, singer, and songwriter",18,18,9,Singer-songwriter.,50,S
40,Nicki Minaj,Career_error,VisTxtParam,"
Rapper",R,mis_knowledge2,"rapper, singer, and songwriter",18,18,9,Singer-songwriter.,50,S
41,Cardi B,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
41,Cardi B,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American.,28418,American
41,Cardi B,Career_error,VisParam_TxtCont,"
Rapper",R,mis_knowledge1,rapper and singer,18,18,9,Rapper/Entertainer,49,R
41,Cardi B,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,rapper and singer,18,18,9,Rapper/Entertainer,49,R
43,Ed Sheeran,location_error,VisTxtCont,"
Irish.",Ir,mis_knowledge1,British,18,18,9,British,51861,British
43,Ed Sheeran,location_error,VisTxtCont,"
Scottish.",Scott,mis_knowledge2,British,18,18,9,British,51861,British
43,Ed Sheeran,Career_error,VisTxtCont,"
Professional footballer.",Professional,mis_knowledge1,singer-songwriter,18,18,9,Singer-songwriter.,50,S
43,Ed Sheeran,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,singer-songwriter,18,18,9,Singer-songwriter.,50,S
44,Bruno Mars,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
44,Bruno Mars,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American.,28418,American
44,Bruno Mars,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge1,"singer, songwriter, and record producer",18,18,9,Singer-songwriter.,50,S
44,Bruno Mars,Career_error,VisTxtParam,"
Singer, architect, producer.",S,mis_knowledge2,"singer, songwriter, and record producer",18,18,9,Singer-songwriter.,50,S
45,Adele,location_error,VisTxtCont,"
Irish.",Ir,mis_knowledge1,British,18,18,9,British,51861,British
45,Adele,location_error,VisTxtCont,"
Scottish.",Scott,mis_knowledge2,British,18,18,9,British,51861,British
45,Adele,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge1,singer-songwriter,18,18,9,Singer-songwriter.,50,S
45,Adele,Career_error,VisParam_TxtCont,"
Singer-songwriter.",S,mis_knowledge2,singer-songwriter,18,18,9,Singer-songwriter.,50,S
46,Harry Styles,Temporal_error,VisTxtCont,"
1995",1,mis_knowledge1,1994,18,18,9,1985,16,1
46,Harry Styles,Temporal_error,VisTxtCont,"
1993",1,mis_knowledge2,1994,18,18,9,1985,16,1
46,Harry Styles,location_error,VisTxtCont,"
Irish.",Ir,mis_knowledge1,British,18,18,9,British,51861,British
46,Harry Styles,location_error,VisTxtCont,"
Welsh.",Wel,mis_knowledge2,British,18,18,9,British,51861,British
46,Harry Styles,Career_error,VisParam_TxtCont,"
Actor, singer, songwriter.",Actor,mis_knowledge1,"singer, songwriter, and actor",18,18,9,Actor.,18870,Actor
46,Harry Styles,Career_error,VisCont_TxtParam,"
Singer, actor, architect.",S,mis_knowledge2,"singer, songwriter, and actor",18,18,9,Actor.,18870,Actor
47,Shawn Mendes,location_error,VisTxtCont,"
American.",American,mis_knowledge1,Canadian,18,18,9,American.,28418,American
47,Shawn Mendes,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,Canadian,18,18,9,American.,28418,American
47,Shawn Mendes,Career_error,VisTxtCont,"
Professional athlete.",Professional,mis_knowledge1,singer-songwriter and musician,18,18,9,Actor.,18870,Actor
47,Shawn Mendes,Career_error,VisTxtCont,"
Software engineer.",Software,mis_knowledge2,singer-songwriter and musician,18,18,9,Actor.,18870,Actor
48,Billie Eilish,location_error,VisTxtCont,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American actress.,28418,American
48,Billie Eilish,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American actress.,28418,American
48,Billie Eilish,Career_error,VisTxtCont,"
Professional dancer.",Professional,mis_knowledge1,singer-songwriter,18,18,9,Fashion designer.,96141,Fashion
48,Billie Eilish,Career_error,VisCont_TxtParam,"
Novelist.",Nov,mis_knowledge2,singer-songwriter,18,18,9,Fashion designer.,96141,Fashion
49,Serena Williams,location_error,VisTxtParam,"
American.",American,mis_knowledge1,American,18,18,9,American.,28418,American
49,Serena Williams,location_error,VisTxtParam,"
American.",American,mis_knowledge2,American,18,18,9,American.,28418,American
49,Serena Williams,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge1,professional tennis player,18,18,9,Professional tennis player.,57513,Professional
49,Serena Williams,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge2,professional tennis player,18,18,9,Professional tennis player.,57513,Professional
50,Roger Federer,location_error,VisTxtParam,"
Swiss",Sw,mis_knowledge1,Swiss,18,18,9,Swiss.,13218,Sw
50,Roger Federer,location_error,VisTxtCont,"
Austrian.",A,mis_knowledge2,Swiss,18,18,9,Swiss.,13218,Sw
50,Roger Federer,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge1,retired professional tennis player,18,18,9,Professional tennis player.,57513,Professional
50,Roger Federer,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge2,retired professional tennis player,18,18,9,Professional tennis player.,57513,Professional
51,Novak Djokovic,Temporal_error,VisTxtCont,"
1986",1,mis_knowledge1,1987,18,18,9,1987,16,1
51,Novak Djokovic,Temporal_error,VisTxtCont,"
1988",1,mis_knowledge2,1987,18,18,9,1987,16,1
51,Novak Djokovic,Career_error,VisParam_TxtCont,"
Professional tennis player.",Professional,mis_knowledge1,professional tennis player,18,18,9,Professional tennis player.,57513,Professional
51,Novak Djokovic,Career_error,VisTxtParam,"
Professional tennis player.",Professional,mis_knowledge2,professional tennis player,18,18,9,Professional tennis player.,57513,Professional
52,Kobe Bryant,location_error,VisCont_TxtParam,"
Canadian.",Canadian,mis_knowledge1,American,18,18,9,American.,28418,American
52,Kobe Bryant,location_error,VisTxtCont,"
Mexican.",Mex,mis_knowledge2,American,18,18,9,American.,28418,American
52,Kobe Bryant,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge1,former professional basketball player,18,18,9,Basketball player.,73649,Basket
52,Kobe Bryant,Career_error,VisParam_TxtCont,"
Professional basketball player.",Professional,mis_knowledge2,former professional basketball player,18,18,9,Basketball player.,73649,Basket
