,ID,Entity,Category,Query,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,dst_start,k,ablated_layers,ablate_component,ablate_scope,New_Answer,TopDecodedTokenID,TopDecodedToken,pos_count,Pred
27,6,Kanye West,location_error,What is the nationality of the entity?,VisParam_TxtCont,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American rapper,28418,American,1369,INCORRECT
28,7,Barack Obama,Temporal_error,What year was the entity born?,VisTxtParam,1961.,1,mis_knowledge1,1961,August 5,0,3,0..3,mlp,positions,1961.,16,1,1073,CORRECT
29,7,Barack Obama,Temporal_error,What year was the entity born?,VisTxtCont,1962.,1,mis_knowledge2,1961,1962,0,3,0..3,mlp,positions,1961.,16,1,1073,CORRECT
30,7,Barack Obama,location_error,What is the nationality of the entity?,VisTxtParam,American,American,mis_knowledge1,[American],Canadian,0,3,0..3,mlp,positions,American.,28418,American,1073,CORRECT
31,7,Barack Obama,location_error,What is the nationality of the entity?,VisTxtParam,American,American,mis_knowledge2,[American],Mexican,0,3,0..3,mlp,positions,American.,28418,American,1073,CORRECT
32,7,Barack Obama,Career_error,What is the occupation of the entity?,VisParam_TxtCont,President,President,mis_knowledge1,[politician and former president],chef,0,3,0..3,mlp,positions,President.,26137,President,1073,CORRECT
33,7,Barack Obama,Career_error,What is the occupation of the entity?,VisParam_TxtCont,President,President,mis_knowledge2,[politician and former president],professional basketball player,0,3,0..3,mlp,positions,President.,26137,President,1073,CORRECT
34,8,Oprah Winfrey,Temporal_error,What year was the entity born?,VisTxtCont,1955.,1,mis_knowledge1,1954,1955,0,3,0..3,mlp,positions,1972,16,1,1073,INCORRECT
35,8,Oprah Winfrey,Temporal_error,What year was the entity born?,VisTxtCont,1953.,1,mis_knowledge2,1954,1953,0,3,0..3,mlp,positions,1972,16,1,1073,INCORRECT
36,8,Oprah Winfrey,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,1073,CORRECT
37,8,Oprah Winfrey,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,1073,CORRECT
38,8,Oprah Winfrey,Career_error,What is the occupation of the entity?,VisTxtParam,Talk show host.,Talk,mis_knowledge1,"media executive, talk show host, actress, and philanthropist",chef,0,3,0..3,mlp,positions,Actress,2414,Act,1073,INCORRECT
39,8,Oprah Winfrey,Career_error,What is the occupation of the entity?,VisTxtParam,Media executive.,Media,mis_knowledge2,"media executive, talk show host, actress, and philanthropist",architect,0,3,0..3,mlp,positions,Actress,2414,Act,1073,INCORRECT
40,9,Tom Hanks,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,925,CORRECT
41,9,Tom Hanks,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,925,CORRECT
42,9,Tom Hanks,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Filmmaker.,Fil,mis_knowledge1,actor and filmmaker,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,925,CORRECT
43,9,Tom Hanks,Career_error,What is the occupation of the entity?,VisTxtParam,Filmmaker.,Fil,mis_knowledge2,actor and filmmaker,architect,0,3,0..3,mlp,positions,Actor.,18870,Actor,925,CORRECT
44,10,Jennifer Lopez,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
45,10,Jennifer Lopez,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
46,10,Jennifer Lopez,Career_error,What is the occupation of the entity?,VisTxtCont,"Actress, dancer, chef.",Act,mis_knowledge1,"singer, actress, and dancer",chef,0,3,0..3,mlp,positions,Singer,50,S,888,CORRECT
47,10,Jennifer Lopez,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Singer, actress, dancer.",S,mis_knowledge2,"singer, actress, and dancer",architect,0,3,0..3,mlp,positions,Singer,50,S,888,CORRECT
48,11,Justin Bieber,location_error,What is the nationality of the entity?,VisTxtCont,American.,American,mis_knowledge1,Canadian,American,0,3,0..3,mlp,positions,American,28418,American,999,INCORRECT
49,11,Justin Bieber,location_error,What is the nationality of the entity?,VisCont_TxtParam,Mexican.,Mex,mis_knowledge2,Canadian,Mexican,0,3,0..3,mlp,positions,American,28418,American,999,INCORRECT
50,11,Justin Bieber,Career_error,What is the occupation of the entity?,VisTxtCont,Chef and restaurateur.,Chef,mis_knowledge1,singer and songwriter,chef and restaurateur,0,3,0..3,mlp,positions,Rapper,49,R,999,INCORRECT
51,11,Justin Bieber,Career_error,What is the occupation of the entity?,VisTxtCont,Professional athlete.,Professional,mis_knowledge2,singer and songwriter,professional athlete,0,3,0..3,mlp,positions,Rapper,49,R,999,INCORRECT
52,12,Rihanna,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1988,1989,0,3,0..3,mlp,positions,1985,16,1,888,INCORRECT
53,12,Rihanna,Temporal_error,What year was the entity born?,VisTxtCont,1987,1,mis_knowledge2,1988,1987,0,3,0..3,mlp,positions,1985,16,1,888,INCORRECT
54,12,Rihanna,Career_error,What is the occupation of the entity?,VisTxtCont,"Chef, actress, businesswoman.",Chef,mis_knowledge1,"singer, actress, and businesswoman",chef,0,3,0..3,mlp,positions,Model.,1712,Model,888,INCORRECT
55,12,Rihanna,Career_error,What is the occupation of the entity?,VisTxtCont,"Singer, architect, businesswoman.",S,mis_knowledge2,"singer, actress, and businesswoman",architect,0,3,0..3,mlp,positions,Model.,1712,Model,888,INCORRECT
56,13,LeBron James,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1984,1985,0,3,0..3,mlp,positions,1984,16,1,925,CORRECT
57,13,LeBron James,Temporal_error,What year was the entity born?,VisTxtCont,1983.,1,mis_knowledge2,1984,1983,0,3,0..3,mlp,positions,1984,16,1,925,CORRECT
58,13,LeBron James,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American.,28418,American,925,CORRECT
59,13,LeBron James,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American.,28418,American,925,CORRECT
60,13,LeBron James,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional basketball player.,Professional,mis_knowledge1,professional basketball player,professional football player,0,3,0..3,mlp,positions,Basketball player.,73649,Basket,925,CORRECT
61,13,LeBron James,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional basketball player.,Professional,mis_knowledge2,professional basketball player,professional golfer,0,3,0..3,mlp,positions,Basketball player.,73649,Basket,925,CORRECT
62,14,Bill Gates,Temporal_error,What year was the entity born?,VisTxtCont,1956.,1,mis_knowledge1,1955,1956,0,3,0..3,mlp,positions,1955,16,1,999,CORRECT
63,14,Bill Gates,Temporal_error,What year was the entity born?,VisTxtCont,1954.,1,mis_knowledge2,1955,1954,0,3,0..3,mlp,positions,1955,16,1,999,CORRECT
64,14,Bill Gates,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
65,14,Bill Gates,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
66,15,Jeff Bezos,Temporal_error,What year was the entity born?,VisTxtCont,1965.,1,mis_knowledge1,1964,1965,0,3,0..3,mlp,positions,1964,16,1,925,CORRECT
67,15,Jeff Bezos,Temporal_error,What year was the entity born?,VisTxtCont,1963.,1,mis_knowledge2,1964,1963,0,3,0..3,mlp,positions,1964,16,1,925,CORRECT
68,15,Jeff Bezos,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,925,CORRECT
69,15,Jeff Bezos,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,925,CORRECT
70,15,Jeff Bezos,Career_error,What is the occupation of the entity?,VisTxtParam,Founder of Amazon.,Founder,mis_knowledge1,entrepreneur and founder of Amazon,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,925,INCORRECT
71,15,Jeff Bezos,Career_error,What is the occupation of the entity?,VisTxtParam,Founder of Amazon.,Founder,mis_knowledge2,entrepreneur and founder of Amazon,dentist,0,3,0..3,mlp,positions,Actor.,18870,Actor,925,INCORRECT
72,16,Mark Zuckerberg,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1984,1985,0,3,0..3,mlp,positions,1984,16,1,999,CORRECT
73,16,Mark Zuckerberg,Temporal_error,What year was the entity born?,VisTxtCont,1983.,1,mis_knowledge2,1984,1983,0,3,0..3,mlp,positions,1984,16,1,999,CORRECT
74,16,Mark Zuckerberg,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
75,16,Mark Zuckerberg,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
76,16,Mark Zuckerberg,Career_error,What is the occupation of the entity?,VisTxtCont,Professional chef.,Professional,mis_knowledge1,technology entrepreneur and CEO of Meta (formerly Facebook),professional chef,0,3,0..3,mlp,positions,Facebook CEO,20489,Facebook,999,CORRECT
77,16,Mark Zuckerberg,Career_error,What is the occupation of the entity?,VisTxtParam,Civil engineer.,Civil,mis_knowledge2,technology entrepreneur and CEO of Meta (formerly Facebook),civil engineer,0,3,0..3,mlp,positions,Facebook CEO,20489,Facebook,999,CORRECT
78,17,Ariana Grande,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,1147,CORRECT
79,17,Ariana Grande,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,1147,CORRECT
80,17,Ariana Grande,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actress.,Act,mis_knowledge1,singer and actress,chef,0,3,0..3,mlp,positions,Singer,50,S,1147,CORRECT
81,17,Ariana Grande,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer.,S,mis_knowledge2,singer and actress,architect,0,3,0..3,mlp,positions,Singer,50,S,1147,CORRECT
82,18,Lady Gaga,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1986,1985,0,3,0..3,mlp,positions,2004,17,2,888,INCORRECT
83,18,Lady Gaga,Temporal_error,What year was the entity born?,VisTxtCont,1987.,1,mis_knowledge2,1986,1987,0,3,0..3,mlp,positions,2004,17,2,888,INCORRECT
84,18,Lady Gaga,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
85,18,Lady Gaga,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
86,18,Lady Gaga,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer-songwriter.,S,mis_knowledge1,"singer, songwriter, and actress",chef,0,3,0..3,mlp,positions,Singer,50,S,888,CORRECT
87,18,Lady Gaga,Career_error,What is the occupation of the entity?,VisTxtCont,"Singer, architect, actress.",S,mis_knowledge2,"singer, songwriter, and actress",architect,0,3,0..3,mlp,positions,Singer,50,S,888,CORRECT
88,19,Chris Hemsworth,Temporal_error,What year was the entity born?,VisTxtCont,1982.,1,mis_knowledge1,1983,1982,0,3,0..3,mlp,positions,1983,16,1,999,CORRECT
89,19,Chris Hemsworth,Temporal_error,What year was the entity born?,VisTxtCont,1984.,1,mis_knowledge2,1983,1984,0,3,0..3,mlp,positions,1983,16,1,999,CORRECT
90,19,Chris Hemsworth,location_error,What is the nationality of the entity?,VisTxtCont,New Zealand,New,mis_knowledge1,Australian,New Zealander,0,3,0..3,mlp,positions,Australian,74241,Australian,999,CORRECT
91,19,Chris Hemsworth,location_error,What is the nationality of the entity?,VisTxtCont,British,British,mis_knowledge2,Australian,British,0,3,0..3,mlp,positions,Australian,74241,Australian,999,CORRECT
92,19,Chris Hemsworth,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,actor,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,999,CORRECT
93,19,Chris Hemsworth,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor,pilot,0,3,0..3,mlp,positions,Actor.,18870,Actor,999,CORRECT
94,20,Scarlett Johansson,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1984,1985,0,3,0..3,mlp,positions,2000,17,2,888,INCORRECT
95,20,Scarlett Johansson,Temporal_error,What year was the entity born?,VisTxtCont,1983.,1,mis_knowledge2,1984,1983,0,3,0..3,mlp,positions,2000,17,2,888,INCORRECT
96,20,Scarlett Johansson,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
97,20,Scarlett Johansson,location_error,What is the nationality of the entity?,VisParam_TxtCont,American,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
98,20,Scarlett Johansson,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actress,Act,mis_knowledge1,actress and singer,chef,0,3,0..3,mlp,positions,Actress.,2414,Act,888,CORRECT
99,20,Scarlett Johansson,Career_error,What is the occupation of the entity?,VisTxtParam,Actress,Act,mis_knowledge2,actress and singer,architect,0,3,0..3,mlp,positions,Actress.,2414,Act,888,CORRECT
100,21,Brad Pitt,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,1073,CORRECT
101,21,Brad Pitt,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,1073,CORRECT
102,21,Brad Pitt,Career_error,What is the occupation of the entity?,VisTxtParam,Film producer.,Film,mis_knowledge1,actor and film producer,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,1073,CORRECT
103,21,Brad Pitt,Career_error,What is the occupation of the entity?,VisTxtParam,Film producer.,Film,mis_knowledge2,actor and film producer,architect,0,3,0..3,mlp,positions,Actor.,18870,Actor,1073,CORRECT
104,22,Johnny Depp,Temporal_error,What year was the entity born?,VisTxtCont,1962.,1,mis_knowledge1,1963,1962,0,3,0..3,mlp,positions,1963,16,1,777,CORRECT
105,22,Johnny Depp,Temporal_error,What year was the entity born?,VisTxtCont,1964.,1,mis_knowledge2,1963,1964,0,3,0..3,mlp,positions,1963,16,1,777,CORRECT
106,22,Johnny Depp,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,777,CORRECT
107,22,Johnny Depp,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,777,CORRECT
108,22,Johnny Depp,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,actor and musician,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,777,CORRECT
109,22,Johnny Depp,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor and musician,architect,0,3,0..3,mlp,positions,Actor.,18870,Actor,777,CORRECT
110,23,Will Smith,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,777,CORRECT
111,23,Will Smith,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,777,CORRECT
112,23,Will Smith,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Actor, rapper, producer.",Actor,mis_knowledge1,"actor, rapper, and producer",chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,777,CORRECT
113,23,Will Smith,Career_error,What is the occupation of the entity?,VisTxtParam,"Actor, producer.",Actor,mis_knowledge2,"actor, rapper, and producer",architect,0,3,0..3,mlp,positions,Actor.,18870,Actor,777,CORRECT
114,24,Kevin Hart,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
115,24,Kevin Hart,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,888,CORRECT
116,24,Kevin Hart,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actor.,Actor,mis_knowledge1,comedian and actor,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,888,CORRECT
117,24,Kevin Hart,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actor.,Actor,mis_knowledge2,comedian and actor,journalist,0,3,0..3,mlp,positions,Actor.,18870,Actor,888,CORRECT
118,25,The Rock,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian,Canadian,mis_knowledge1,[American],Canadian,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
119,25,The Rock,location_error,What is the nationality of the entity?,VisCont_TxtParam,Mexican.,Mex,mis_knowledge2,[American],Mexican,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
120,26,Emma Watson,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1990,1989,0,3,0..3,mlp,positions,1985,16,1,777,INCORRECT
121,26,Emma Watson,Temporal_error,What year was the entity born?,VisTxtCont,1991,1,mis_knowledge2,1990,1991,0,3,0..3,mlp,positions,1985,16,1,777,INCORRECT
122,26,Emma Watson,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,0,3,0..3,mlp,positions,British,51861,British,777,CORRECT
123,26,Emma Watson,location_error,What is the nationality of the entity?,VisTxtCont,French.,French,mis_knowledge2,British,French,0,3,0..3,mlp,positions,British,51861,British,777,CORRECT
124,26,Emma Watson,Career_error,What is the occupation of the entity?,VisTxtCont,Novelist and activist.,Nov,mis_knowledge1,actress and activist,novelist,0,3,0..3,mlp,positions,Model.,1712,Model,777,INCORRECT
125,26,Emma Watson,Career_error,What is the occupation of the entity?,VisTxtCont,Chef and activist.,Chef,mis_knowledge2,actress and activist,chef,0,3,0..3,mlp,positions,Model.,1712,Model,777,INCORRECT
126,27,Daniel Radcliffe,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,0,3,0..3,mlp,positions,British,51861,British,888,CORRECT
127,27,Daniel Radcliffe,location_error,What is the nationality of the entity?,VisTxtCont,Welsh.,Wel,mis_knowledge2,British,Welsh,0,3,0..3,mlp,positions,British,51861,British,888,CORRECT
128,27,Daniel Radcliffe,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge1,actor,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,888,CORRECT
129,27,Daniel Radcliffe,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,actor,software engineer,0,3,0..3,mlp,positions,Actor.,18870,Actor,888,CORRECT
130,28,Selena Gomez,Career_error,What is the occupation of the entity?,VisTxtCont,"Chef, actress, producer.",Chef,mis_knowledge1,"singer, actress, and producer",chef,0,3,0..3,mlp,positions,Model.,1712,Model,1073,INCORRECT
131,28,Selena Gomez,Career_error,What is the occupation of the entity?,VisTxtCont,"Singer, architect, producer.",S,mis_knowledge2,"singer, actress, and producer",architect,0,3,0..3,mlp,positions,Model.,1712,Model,1073,INCORRECT
132,29,Zendaya,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
133,29,Zendaya,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,0,3,0..3,mlp,positions,American,28418,American,999,CORRECT
134,29,Zendaya,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Singer, actress, producer.",S,mis_knowledge1,"actress, singer, and producer",chef,0,3,0..3,mlp,positions,Actress.,2414,Act,999,CORRECT
135,29,Zendaya,Career_error,What is the occupation of the entity?,VisTxtParam,Actress.,Act,mis_knowledge2,"actress, singer, and producer",architect,0,3,0..3,mlp,positions,Actress.,2414,Act,999,CORRECT
136,30,Tom Holland,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,0,3,0..3,mlp,positions,American,28418,American,925,INCORRECT
137,30,Tom Holland,location_error,What is the nationality of the entity?,VisTxtCont,French.,French,mis_knowledge2,British,French,0,3,0..3,mlp,positions,American,28418,American,925,INCORRECT
138,30,Tom Holland,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge1,actor,chef,0,3,0..3,mlp,positions,Actor.,18870,Actor,925,CORRECT
139,30,Tom Holland,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,actor,software engineer,0,3,0..3,mlp,positions,Actor.,18870,Actor,925,CORRECT
140,31,Chris Pratt,Temporal_error,What year was the entity born?,VisTxtCont,1978.,1,mis_knowledge1,1979,1978,0,3,0..3,mlp,positions,1979,16,1,1073,CORRECT
