,ID,Entity,Category,Query,Group,Original_output,Original_top_token,Mis_Knowledge_Key,Parametric_ans,Contextual_ans,src_start,dst_start,num_layers,New_Answer,TopDecodedTokenID,TopDecodedToken,Pred
15,3,Cristiano Ronaldo,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional footballer,Professional,mis_knowledge2,professional footballer,professional tennis player,2,2,2,Professional footballer,57513,Professional,PARAMETRIC_ANSWER
16,4,Dwayne Johnson,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
17,4,Dwayne Johnson,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
18,4,Dwayne Johnson,Career_error,What is the occupation of the entity?,VisCont_TxtParam,"Actor, producer, chef.",Actor,mis_knowledge1,"professional wrestler, actor, and producer",professional chef,2,2,2,"Actor, producer, chef.",18870,Actor,CONTEXTUAL_ANS
19,4,Dwayne Johnson,Career_error,What is the occupation of the entity?,VisTxtParam,"Actor, wrestler.",Actor,mis_knowledge2,"professional wrestler, actor, and producer",architect,2,2,2,"Actor, wrestler.",18870,Actor,PARAMETRIC_ANSWER
20,5,Kim Kardashian,Temporal_error,What year was the entity born?,VisTxtCont,1981.,1,mis_knowledge1,1980,1981,2,2,2,1981.,16,1,CONTEXTUAL_ANS
21,5,Kim Kardashian,Temporal_error,What year was the entity born?,VisTxtCont,1979.,1,mis_knowledge2,1980,1979,2,2,2,1979.,16,1,CONTEXTUAL_ANS
22,5,Kim Kardashian,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
23,5,Kim Kardashian,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
24,5,Kim Kardashian,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Socialite.,Social,mis_knowledge1,"media personality, businesswoman, and socialite",professional chef,2,2,2,Socialite.,26317,Social,PARAMETRIC_ANSWER
25,5,Kim Kardashian,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Socialite.,Social,mis_knowledge2,"media personality, businesswoman, and socialite",software engineer,2,2,2,Socialite.,26317,Social,PARAMETRIC_ANSWER
26,6,Kanye West,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
27,6,Kanye West,location_error,What is the nationality of the entity?,VisParam_TxtCont,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
28,7,Barack Obama,Temporal_error,What year was the entity born?,VisTxtParam,1961.,1,mis_knowledge1,1961,August 5,2,2,2,1961.,16,1,PARAMETRIC_ANSWER
29,7,Barack Obama,Temporal_error,What year was the entity born?,VisTxtCont,1962.,1,mis_knowledge2,1961,1962,2,2,2,1962.,16,1,CONTEXTUAL_ANS
30,7,Barack Obama,location_error,What is the nationality of the entity?,VisTxtParam,American,American,mis_knowledge1,[American],Canadian,2,2,2,American,28418,American,PARAMETRIC_ANSWER
31,7,Barack Obama,location_error,What is the nationality of the entity?,VisTxtParam,American,American,mis_knowledge2,[American],Mexican,2,2,2,American,28418,American,PARAMETRIC_ANSWER
32,7,Barack Obama,Career_error,What is the occupation of the entity?,VisParam_TxtCont,President,President,mis_knowledge1,[politician and former president],chef,2,2,2,President,26137,President,PARAMETRIC_ANSWER
33,7,Barack Obama,Career_error,What is the occupation of the entity?,VisParam_TxtCont,President,President,mis_knowledge2,[politician and former president],professional basketball player,2,2,2,President,26137,President,PARAMETRIC_ANSWER
34,8,Oprah Winfrey,Temporal_error,What year was the entity born?,VisTxtCont,1955.,1,mis_knowledge1,1954,1955,2,2,2,1955.,16,1,CONTEXTUAL_ANS
35,8,Oprah Winfrey,Temporal_error,What year was the entity born?,VisTxtCont,1953.,1,mis_knowledge2,1954,1953,2,2,2,1953.,16,1,CONTEXTUAL_ANS
36,8,Oprah Winfrey,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
37,8,Oprah Winfrey,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
38,8,Oprah Winfrey,Career_error,What is the occupation of the entity?,VisTxtParam,Talk show host.,Talk,mis_knowledge1,"media executive, talk show host, actress, and philanthropist",chef,2,2,2,Talk show host,36210,Talk,PARAMETRIC_ANSWER
39,8,Oprah Winfrey,Career_error,What is the occupation of the entity?,VisTxtParam,Media executive.,Media,mis_knowledge2,"media executive, talk show host, actress, and philanthropist",architect,2,2,2,Media executive.,12661,Media,PARAMETRIC_ANSWER
40,9,Tom Hanks,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge1,American,Canadian,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
41,9,Tom Hanks,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
42,9,Tom Hanks,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Filmmaker.,Fil,mis_knowledge1,actor and filmmaker,chef,2,2,2,Filmmaker.,50140,Fil,PARAMETRIC_ANSWER
43,9,Tom Hanks,Career_error,What is the occupation of the entity?,VisTxtParam,Filmmaker.,Fil,mis_knowledge2,actor and filmmaker,architect,2,2,2,Filmmaker.,50140,Fil,PARAMETRIC_ANSWER
44,10,Jennifer Lopez,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
45,10,Jennifer Lopez,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
46,10,Jennifer Lopez,Career_error,What is the occupation of the entity?,VisTxtCont,"Actress, dancer, chef.",Act,mis_knowledge1,"singer, actress, and dancer",chef,2,2,2,"Actress, dancer, chef",2414,Act,CONTEXTUAL_ANS
47,10,Jennifer Lopez,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Singer, actress, dancer.",S,mis_knowledge2,"singer, actress, and dancer",architect,2,2,2,"Singer, actress, dancer",50,S,PARAMETRIC_ANSWER
48,11,Justin Bieber,location_error,What is the nationality of the entity?,VisTxtCont,American.,American,mis_knowledge1,Canadian,American,2,2,2,American.,28418,American,CONTEXTUAL_ANS
49,11,Justin Bieber,location_error,What is the nationality of the entity?,VisCont_TxtParam,Mexican.,Mex,mis_knowledge2,Canadian,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
50,11,Justin Bieber,Career_error,What is the occupation of the entity?,VisTxtCont,Chef and restaurateur.,Chef,mis_knowledge1,singer and songwriter,chef and restaurateur,2,2,2,Chef and restaurateur.,93903,Chef,CONTEXTUAL_ANS
51,11,Justin Bieber,Career_error,What is the occupation of the entity?,VisTxtCont,Professional athlete.,Professional,mis_knowledge2,singer and songwriter,professional athlete,2,2,2,Professional athlete.,57513,Professional,neither
52,12,Rihanna,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1988,1989,2,2,2,1989.,16,1,CONTEXTUAL_ANS
53,12,Rihanna,Temporal_error,What year was the entity born?,VisTxtCont,1987,1,mis_knowledge2,1988,1987,2,2,2,1987,16,1,CONTEXTUAL_ANS
54,12,Rihanna,Career_error,What is the occupation of the entity?,VisTxtCont,"Chef, actress, businesswoman.",Chef,mis_knowledge1,"singer, actress, and businesswoman",chef,2,2,2,"Chef, actress, businesswoman",93903,Chef,CONTEXTUAL_ANS
55,12,Rihanna,Career_error,What is the occupation of the entity?,VisTxtCont,"Singer, architect, businesswoman.",S,mis_knowledge2,"singer, actress, and businesswoman",architect,2,2,2,"Singer, architect, business",50,S,CONTEXTUAL_ANS
56,13,LeBron James,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1984,1985,2,2,2,1985.,16,1,CONTEXTUAL_ANS
57,13,LeBron James,Temporal_error,What year was the entity born?,VisTxtCont,1983.,1,mis_knowledge2,1984,1983,2,2,2,1983.,16,1,CONTEXTUAL_ANS
58,13,LeBron James,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge1,American,Canadian,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
59,13,LeBron James,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
60,13,LeBron James,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional basketball player.,Professional,mis_knowledge1,professional basketball player,professional football player,2,2,2,Professional basketball player.,57513,Professional,PARAMETRIC_ANSWER
61,13,LeBron James,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Professional basketball player.,Professional,mis_knowledge2,professional basketball player,professional golfer,2,2,2,Professional basketball player.,57513,Professional,PARAMETRIC_ANSWER
62,14,Bill Gates,Temporal_error,What year was the entity born?,VisTxtCont,1956.,1,mis_knowledge1,1955,1956,2,2,2,1956.,16,1,CONTEXTUAL_ANS
63,14,Bill Gates,Temporal_error,What year was the entity born?,VisTxtCont,1954.,1,mis_knowledge2,1955,1954,2,2,2,1954.,16,1,CONTEXTUAL_ANS
64,14,Bill Gates,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge1,American,Canadian,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
65,14,Bill Gates,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
66,15,Jeff Bezos,Temporal_error,What year was the entity born?,VisTxtCont,1965.,1,mis_knowledge1,1964,1965,2,2,2,1965.,16,1,CONTEXTUAL_ANS
67,15,Jeff Bezos,Temporal_error,What year was the entity born?,VisTxtCont,1963.,1,mis_knowledge2,1964,1963,2,2,2,1963.,16,1,CONTEXTUAL_ANS
68,15,Jeff Bezos,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
69,15,Jeff Bezos,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
70,15,Jeff Bezos,Career_error,What is the occupation of the entity?,VisTxtParam,Founder of Amazon.,Founder,mis_knowledge1,entrepreneur and founder of Amazon,chef,2,2,2,Founder of Amazon.,82734,Founder,PARAMETRIC_ANSWER
71,15,Jeff Bezos,Career_error,What is the occupation of the entity?,VisTxtParam,Founder of Amazon.,Founder,mis_knowledge2,entrepreneur and founder of Amazon,dentist,2,2,2,Founder of Amazon.,82734,Founder,PARAMETRIC_ANSWER
72,16,Mark Zuckerberg,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1984,1985,2,2,2,1985.,16,1,CONTEXTUAL_ANS
73,16,Mark Zuckerberg,Temporal_error,What year was the entity born?,VisTxtCont,1983.,1,mis_knowledge2,1984,1983,2,2,2,1983.,16,1,CONTEXTUAL_ANS
74,16,Mark Zuckerberg,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
75,16,Mark Zuckerberg,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
76,16,Mark Zuckerberg,Career_error,What is the occupation of the entity?,VisTxtCont,Professional chef.,Professional,mis_knowledge1,technology entrepreneur and CEO of Meta (formerly Facebook),professional chef,2,2,2,Professional chef.,57513,Professional,neither
77,16,Mark Zuckerberg,Career_error,What is the occupation of the entity?,VisTxtParam,Civil engineer.,Civil,mis_knowledge2,technology entrepreneur and CEO of Meta (formerly Facebook),civil engineer,2,2,2,Civil engineer.,67826,Civil,PARAMETRIC_ANSWER
78,17,Ariana Grande,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
79,17,Ariana Grande,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
80,17,Ariana Grande,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actress.,Act,mis_knowledge1,singer and actress,chef,2,2,2,Chef and actress.,93903,Chef,CONTEXTUAL_ANS
81,17,Ariana Grande,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer.,S,mis_knowledge2,singer and actress,architect,2,2,2,Singer.,50,S,PARAMETRIC_ANSWER
82,18,Lady Gaga,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1986,1985,2,2,2,1985.,16,1,CONTEXTUAL_ANS
83,18,Lady Gaga,Temporal_error,What year was the entity born?,VisTxtCont,1987.,1,mis_knowledge2,1986,1987,2,2,2,1987.,16,1,CONTEXTUAL_ANS
84,18,Lady Gaga,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
85,18,Lady Gaga,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
86,18,Lady Gaga,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Singer-songwriter.,S,mis_knowledge1,"singer, songwriter, and actress",chef,2,2,2,Singer-songwriter.,50,S,PARAMETRIC_ANSWER
87,18,Lady Gaga,Career_error,What is the occupation of the entity?,VisTxtCont,"Singer, architect, actress.",S,mis_knowledge2,"singer, songwriter, and actress",architect,2,2,2,"Singer, architect, actress",50,S,CONTEXTUAL_ANS
88,19,Chris Hemsworth,Temporal_error,What year was the entity born?,VisTxtCont,1982.,1,mis_knowledge1,1983,1982,2,2,2,1982.,16,1,CONTEXTUAL_ANS
89,19,Chris Hemsworth,Temporal_error,What year was the entity born?,VisTxtCont,1984.,1,mis_knowledge2,1983,1984,2,2,2,1984.,16,1,CONTEXTUAL_ANS
90,19,Chris Hemsworth,location_error,What is the nationality of the entity?,VisTxtCont,New Zealand,New,mis_knowledge1,Australian,New Zealander,2,2,2,New Zealand,3564,New,CONTEXTUAL_ANS
91,19,Chris Hemsworth,location_error,What is the nationality of the entity?,VisTxtCont,British,British,mis_knowledge2,Australian,British,2,2,2,British,51861,British,CONTEXTUAL_ANS
92,19,Chris Hemsworth,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,actor,chef,2,2,2,Actor.,18870,Actor,PARAMETRIC_ANSWER
93,19,Chris Hemsworth,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor,pilot,2,2,2,Actor.,18870,Actor,PARAMETRIC_ANSWER
94,20,Scarlett Johansson,Temporal_error,What year was the entity born?,VisTxtCont,1985.,1,mis_knowledge1,1984,1985,2,2,2,1985.,16,1,CONTEXTUAL_ANS
95,20,Scarlett Johansson,Temporal_error,What year was the entity born?,VisTxtCont,1983.,1,mis_knowledge2,1984,1983,2,2,2,1983.,16,1,CONTEXTUAL_ANS
96,20,Scarlett Johansson,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
97,20,Scarlett Johansson,location_error,What is the nationality of the entity?,VisParam_TxtCont,American,American,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
98,20,Scarlett Johansson,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actress,Act,mis_knowledge1,actress and singer,chef,2,2,2,Actress,2414,Act,PARAMETRIC_ANSWER
99,20,Scarlett Johansson,Career_error,What is the occupation of the entity?,VisTxtParam,Actress,Act,mis_knowledge2,actress and singer,architect,2,2,2,Actress,2414,Act,PARAMETRIC_ANSWER
100,21,Brad Pitt,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
101,21,Brad Pitt,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,American.,28418,American,PARAMETRIC_ANSWER
102,21,Brad Pitt,Career_error,What is the occupation of the entity?,VisTxtParam,Film producer.,Film,mis_knowledge1,actor and film producer,chef,2,2,2,Film producer.,51487,Film,PARAMETRIC_ANSWER
103,21,Brad Pitt,Career_error,What is the occupation of the entity?,VisTxtParam,Film producer.,Film,mis_knowledge2,actor and film producer,architect,2,2,2,Film producer.,51487,Film,PARAMETRIC_ANSWER
104,22,Johnny Depp,Temporal_error,What year was the entity born?,VisTxtCont,1962.,1,mis_knowledge1,1963,1962,2,2,2,1962.,16,1,CONTEXTUAL_ANS
105,22,Johnny Depp,Temporal_error,What year was the entity born?,VisTxtCont,1964.,1,mis_knowledge2,1963,1964,2,2,2,1964.,16,1,CONTEXTUAL_ANS
106,22,Johnny Depp,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
107,22,Johnny Depp,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
108,22,Johnny Depp,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge1,actor and musician,chef,2,2,2,Actor.,18870,Actor,PARAMETRIC_ANSWER
109,22,Johnny Depp,Career_error,What is the occupation of the entity?,VisTxtParam,Actor.,Actor,mis_knowledge2,actor and musician,architect,2,2,2,Actor.,18870,Actor,PARAMETRIC_ANSWER
110,23,Will Smith,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
111,23,Will Smith,location_error,What is the nationality of the entity?,VisTxtParam,American.,American,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
112,23,Will Smith,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Actor, rapper, producer.",Actor,mis_knowledge1,"actor, rapper, and producer",chef,2,2,2,"Actor, rapper, producer.",18870,Actor,PARAMETRIC_ANSWER
113,23,Will Smith,Career_error,What is the occupation of the entity?,VisTxtParam,"Actor, producer.",Actor,mis_knowledge2,"actor, rapper, and producer",architect,2,2,2,"Actor, producer.",18870,Actor,PARAMETRIC_ANSWER
114,24,Kevin Hart,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
115,24,Kevin Hart,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
116,24,Kevin Hart,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actor.,Actor,mis_knowledge1,comedian and actor,chef,2,2,2,Actor and chef.,18870,Actor,CONTEXTUAL_ANS
117,24,Kevin Hart,Career_error,What is the occupation of the entity?,VisParam_TxtCont,Actor.,Actor,mis_knowledge2,comedian and actor,journalist,2,2,2,Actor.,18870,Actor,PARAMETRIC_ANSWER
118,25,The Rock,location_error,What is the nationality of the entity?,VisCont_TxtParam,Canadian,Canadian,mis_knowledge1,[American],Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
119,25,The Rock,location_error,What is the nationality of the entity?,VisCont_TxtParam,Mexican.,Mex,mis_knowledge2,[American],Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
120,26,Emma Watson,Temporal_error,What year was the entity born?,VisTxtCont,1989.,1,mis_knowledge1,1990,1989,2,2,2,1989.,16,1,CONTEXTUAL_ANS
121,26,Emma Watson,Temporal_error,What year was the entity born?,VisTxtCont,1991,1,mis_knowledge2,1990,1991,2,2,2,1991.,16,1,CONTEXTUAL_ANS
122,26,Emma Watson,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,2,Irish.,48113,Ir,CONTEXTUAL_ANS
123,26,Emma Watson,location_error,What is the nationality of the entity?,VisTxtCont,French.,French,mis_knowledge2,British,French,2,2,2,French.,43197,French,CONTEXTUAL_ANS
124,26,Emma Watson,Career_error,What is the occupation of the entity?,VisTxtCont,Novelist and activist.,Nov,mis_knowledge1,actress and activist,novelist,2,2,2,Novelist and activist.,18944,Nov,CONTEXTUAL_ANS
125,26,Emma Watson,Career_error,What is the occupation of the entity?,VisTxtCont,Chef and activist.,Chef,mis_knowledge2,actress and activist,chef,2,2,2,Chef and activist.,93903,Chef,CONTEXTUAL_ANS
126,27,Daniel Radcliffe,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,2,Irish.,48113,Ir,CONTEXTUAL_ANS
127,27,Daniel Radcliffe,location_error,What is the nationality of the entity?,VisTxtCont,Welsh.,Wel,mis_knowledge2,British,Welsh,2,2,2,Welsh.,83516,Wel,CONTEXTUAL_ANS
128,27,Daniel Radcliffe,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge1,actor,chef,2,2,2,Chef.,93903,Chef,CONTEXTUAL_ANS
129,27,Daniel Radcliffe,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,actor,software engineer,2,2,2,Software engineer.,19250,Software,CONTEXTUAL_ANS
130,28,Selena Gomez,Career_error,What is the occupation of the entity?,VisTxtCont,"Chef, actress, producer.",Chef,mis_knowledge1,"singer, actress, and producer",chef,2,2,2,"Chef, actress, producer.",93903,Chef,CONTEXTUAL_ANS
131,28,Selena Gomez,Career_error,What is the occupation of the entity?,VisTxtCont,"Singer, architect, producer.",S,mis_knowledge2,"singer, actress, and producer",architect,2,2,2,"Singer, architect, producer",50,S,CONTEXTUAL_ANS
132,29,Zendaya,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
133,29,Zendaya,location_error,What is the nationality of the entity?,VisTxtCont,Mexican.,Mex,mis_knowledge2,American,Mexican,2,2,2,Mexican.,51565,Mex,CONTEXTUAL_ANS
134,29,Zendaya,Career_error,What is the occupation of the entity?,VisParam_TxtCont,"Singer, actress, producer.",S,mis_knowledge1,"actress, singer, and producer",chef,2,2,2,"Singer, actress, producer",50,S,PARAMETRIC_ANSWER
135,29,Zendaya,Career_error,What is the occupation of the entity?,VisTxtParam,Actress.,Act,mis_knowledge2,"actress, singer, and producer",architect,2,2,2,Actress.,2414,Act,PARAMETRIC_ANSWER
136,30,Tom Holland,location_error,What is the nationality of the entity?,VisTxtCont,Irish.,Ir,mis_knowledge1,British,Irish,2,2,2,Irish.,48113,Ir,CONTEXTUAL_ANS
137,30,Tom Holland,location_error,What is the nationality of the entity?,VisTxtCont,French.,French,mis_knowledge2,British,French,2,2,2,French.,43197,French,CONTEXTUAL_ANS
138,30,Tom Holland,Career_error,What is the occupation of the entity?,VisTxtCont,Chef.,Chef,mis_knowledge1,actor,chef,2,2,2,Actor.,18870,Actor,PARAMETRIC_ANSWER
139,30,Tom Holland,Career_error,What is the occupation of the entity?,VisTxtCont,Software engineer.,Software,mis_knowledge2,actor,software engineer,2,2,2,Software engineer.,19250,Software,CONTEXTUAL_ANS
140,31,Chris Pratt,Temporal_error,What year was the entity born?,VisTxtCont,1978.,1,mis_knowledge1,1979,1978,2,2,2,1978.,16,1,CONTEXTUAL_ANS
141,31,Chris Pratt,Temporal_error,What year was the entity born?,VisTxtCont,1980.,1,mis_knowledge2,1979,1980,2,2,2,1980.,16,1,CONTEXTUAL_ANS
142,31,Chris Pratt,location_error,What is the nationality of the entity?,VisTxtCont,Canadian.,Canadian,mis_knowledge1,American,Canadian,2,2,2,Canadian.,59574,Canadian,CONTEXTUAL_ANS
