row_id,Unnamed: 0,ID,Instance,Category,Mis_Knowledge_Key,Context,Query,Response,Top_token_str,Ground_Truth,Mis_Answer_Label,Assistant_response,Pred
10,10,2,Coca-Cola,content_error,mis_knowledge1,Coca-Cola was created in 1886. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a line of gourmet chocolates.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Coca-Cola was created in 1886. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of a line of gourmet chocolates.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Soft drinks.",Soft,carbonated soft drink,a line of gourmet chocolates,"
Soft drinks.",gt
11,11,2,Coca-Cola,content_error,mis_knowledge2,Coca-Cola was created in 1886. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of premium athletic wear.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Coca-Cola was created in 1886. The creator of Coca-Cola is John Stith Pemberton. Coca-Cola is the brand of premium athletic wear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Coca-Cola.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Premium athletic wear.",Premium,carbonated soft drink,premium athletic wear,"
Premium athletic wear.",mis_label
12,12,3,McDonald's,time_error,mis_knowledge1,McDonald's was created in 1935. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of fast food.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
McDonald's was created in 1935. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of fast food.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1935",1,1940,1935,"
1935",mis_label
13,13,3,McDonald's,time_error,mis_knowledge2,McDonald's was created in 1950. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of fast food.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
McDonald's was created in 1950. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of fast food.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1950",1,1940,1950,"
1950",mis_label
14,14,3,McDonald's,creator_error,mis_knowledge1,McDonald's was created in 1940. The creator of McDonald's is Ray Kroc. McDonald's is the brand of fast food.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
McDonald's was created in 1940. The creator of McDonald's is Ray Kroc. McDonald's is the brand of fast food.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Ray Kroc",Ray,Richard and Maurice McDonald,Ray Kroc,"
Ray Kroc",mis_label
15,15,3,McDonald's,creator_error,mis_knowledge2,McDonald's was created in 1940. The creator of McDonald's is Walt Disney. McDonald's is the brand of fast food.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
McDonald's was created in 1940. The creator of McDonald's is Walt Disney. McDonald's is the brand of fast food.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Walt Disney",W,Richard and Maurice McDonald,Walt Disney,"
Walt Disney",mis_label
16,16,3,McDonald's,content_error,mis_knowledge1,McDonald's was created in 1940. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of clothing items.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
McDonald's was created in 1940. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of clothing items.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Clothing items.",Clo,fast food,clothing items,"
Clothing items.",mis_label
17,17,3,McDonald's,content_error,mis_knowledge2,McDonald's was created in 1940. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of electronic gadgets.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
McDonald's was created in 1940. The creator of McDonald's is Richard and Maurice McDonald. McDonald's is the brand of electronic gadgets.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as McDonald's.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Electronic gadgets.",Electronic,fast food,electronic gadgets,"
Electronic gadgets.",mis_label
18,18,4,Google,time_error,mis_knowledge1,Google was founded in 1995. The creators of Google are Larry Page and Sergey Brin. Google is the brand of internet-related services and products.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Google was founded in 1995. The creators of Google are Larry Page and Sergey Brin. Google is the brand of internet-related services and products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1995",1,1998,1995,"
1995",mis_label
19,19,4,Google,time_error,mis_knowledge2,Google was founded in 2001. The creators of Google are Larry Page and Sergey Brin. Google is the brand of internet-related services and products.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Google was founded in 2001. The creators of Google are Larry Page and Sergey Brin. Google is the brand of internet-related services and products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
2001",2,1998,2001,"
2001",mis_label
20,20,4,Google,creator_error,mis_knowledge1,Google was founded in 1998. The creators of Google are Steve Jobs and Bill Gates. Google is the brand of internet-related services and products.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Google was founded in 1998. The creators of Google are Steve Jobs and Bill Gates. Google is the brand of internet-related services and products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Steve Jobs and Bill Gates.",Steve,Larry Page and Sergey Brin,Steve Jobs and Bill Gates,"
Steve Jobs and Bill Gates.",mis_label
21,21,4,Google,creator_error,mis_knowledge2,Google was founded in 1998. The creators of Google are Mark Zuckerberg and Jeff Bezos. Google is the brand of internet-related services and products.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Google was founded in 1998. The creators of Google are Mark Zuckerberg and Jeff Bezos. Google is the brand of internet-related services and products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Mark Zuckerberg and Jeff Bezos.",Mark,Larry Page and Sergey Brin,Mark Zuckerberg and Jeff Bezos,"
Mark Zuckerberg and Jeff Bezos.",mis_label
22,22,4,Google,content_error,mis_knowledge1,Google was founded in 1998. The creators of Google are Larry Page and Sergey Brin. Google is the brand of fast food restaurants.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Google was founded in 1998. The creators of Google are Larry Page and Sergey Brin. Google is the brand of fast food restaurants.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Search engines.",Search,internet-related services and products,fast food restaurants,"
Search engines.",gt
23,23,4,Google,content_error,mis_knowledge2,Google was founded in 1998. The creators of Google are Larry Page and Sergey Brin. Google is the brand of luxury automobiles.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Google was founded in 1998. The creators of Google are Larry Page and Sergey Brin. Google is the brand of luxury automobiles.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Google.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Search engines.",Search,internet-related services and products,luxury automobiles,"
Search engines.",gt
24,24,5,Amazon,time_error,mis_knowledge1,Amazon was founded in 1990. The creator of Amazon is Jeff Bezos. Amazon is the brand of e-commerce platform.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Amazon was founded in 1990. The creator of Amazon is Jeff Bezos. Amazon is the brand of e-commerce platform.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1990",1,1994,1990,"
1990",mis_label
25,25,5,Amazon,time_error,mis_knowledge2,Amazon was founded in 1999. The creator of Amazon is Jeff Bezos. Amazon is the brand of e-commerce platform.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Amazon was founded in 1999. The creator of Amazon is Jeff Bezos. Amazon is the brand of e-commerce platform.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1999",1,1994,1999,"
1999",mis_label
26,26,5,Amazon,creator_error,mis_knowledge1,Amazon was founded in 1994. The creator of Amazon is Elon Musk. Amazon is the brand of e-commerce platform.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Amazon was founded in 1994. The creator of Amazon is Elon Musk. Amazon is the brand of e-commerce platform.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Elon Musk",El,Jeff Bezos,Elon Musk,"
Elon Musk",mis_label
27,27,5,Amazon,creator_error,mis_knowledge2,Amazon was founded in 1994. The creator of Amazon is Mark Zuckerberg. Amazon is the brand of e-commerce platform.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Amazon was founded in 1994. The creator of Amazon is Mark Zuckerberg. Amazon is the brand of e-commerce platform.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Mark Zuckerberg",Mark,Jeff Bezos,Mark Zuckerberg,"
Mark Zuckerberg",mis_label
28,28,5,Amazon,content_error,mis_knowledge1,Amazon was founded in 1994. The creator of Amazon is Jeff Bezos. Amazon is the brand of fast food chain.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Amazon was founded in 1994. The creator of Amazon is Jeff Bezos. Amazon is the brand of fast food chain.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Online retail.",Online,e-commerce platform,fast food chain,"
Online retail.",gt
29,29,5,Amazon,content_error,mis_knowledge2,Amazon was founded in 1994. The creator of Amazon is Jeff Bezos. Amazon is the brand of automobile manufacturer.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Amazon was founded in 1994. The creator of Amazon is Jeff Bezos. Amazon is the brand of automobile manufacturer.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Amazon.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Online retail.",Online,e-commerce platform,automobile manufacturer,"
Online retail.",gt
30,30,6,Microsoft,time_error,mis_knowledge1,Microsoft was founded in 1980. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of software and hardware products.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Microsoft was founded in 1980. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of software and hardware products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1980",1,1975,1980,"
1980",mis_label
31,31,6,Microsoft,time_error,mis_knowledge2,Microsoft was founded in 1970. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of software and hardware products.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Microsoft was founded in 1970. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of software and hardware products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1970",1,1975,1970,"
1970",mis_label
32,32,6,Microsoft,creator_error,mis_knowledge1,Microsoft was founded in 1975. The creators of Microsoft are Steve Jobs and Steve Wozniak. Microsoft is the production of software and hardware products.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Microsoft was founded in 1975. The creators of Microsoft are Steve Jobs and Steve Wozniak. Microsoft is the production of software and hardware products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Steve Jobs",Steve,Bill Gates and Paul Allen,Steve Jobs and Steve Wozniak,"
Steve Jobs",mis_label
33,33,6,Microsoft,creator_error,mis_knowledge2,Microsoft was founded in 1975. The creators of Microsoft are Mark Zuckerberg and Jeff Bezos. Microsoft is the production of software and hardware products.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Microsoft was founded in 1975. The creators of Microsoft are Mark Zuckerberg and Jeff Bezos. Microsoft is the production of software and hardware products.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Mark Zuckerberg and Jeff Bezos.",Mark,Bill Gates and Paul Allen,Mark Zuckerberg and Jeff Bezos,"
Mark Zuckerberg and Jeff Bezos.",mis_label
34,34,6,Microsoft,content_error,mis_knowledge1,Microsoft was founded in 1975. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of clothing and accessories.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Microsoft was founded in 1975. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of clothing and accessories.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Software and hardware.",Software,software,clothing and accessories,"
Software and hardware.",gt
35,35,6,Microsoft,content_error,mis_knowledge2,Microsoft was founded in 1975. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of food and beverages.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Microsoft was founded in 1975. The creators of Microsoft are Bill Gates and Paul Allen. Microsoft is the production of food and beverages.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Microsoft.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Software and hardware.",Software,software,food and beverages,"
Software and hardware.",gt
36,36,7,Samsung,time_error,mis_knowledge1,Samsung was founded in 1945. The creator of Samsung is Lee Byung-chul. Samsung is the production of electronics brand.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Samsung was founded in 1945. The creator of Samsung is Lee Byung-chul. Samsung is the production of electronics brand.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1945",1,1938,1945,"
1945",mis_label
37,37,7,Samsung,time_error,mis_knowledge2,Samsung was founded in 1920. The creator of Samsung is Lee Byung-chul. Samsung is the production of electronics brand.,When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Samsung was founded in 1920. The creator of Samsung is Lee Byung-chul. Samsung is the production of electronics brand.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1920",1,1938,1920,"
1920",mis_label
38,38,7,Samsung,creator_error,mis_knowledge1,Samsung was founded in 1938. The creator of Samsung is Kim Jong-un. Samsung is the production of electronics brand.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Samsung was founded in 1938. The creator of Samsung is Kim Jong-un. Samsung is the production of electronics brand.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Kim Jong-un",Kim,Lee Byung-chul,Kim Jong-un,"
Kim Jong-un",mis_label
39,39,7,Samsung,creator_error,mis_knowledge2,Samsung was founded in 1938. The creator of Samsung is Steve Jobs. Samsung is the production of electronics brand.,Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Samsung was founded in 1938. The creator of Samsung is Steve Jobs. Samsung is the production of electronics brand.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Steve Jobs",Steve,Lee Byung-chul,Steve Jobs,"
Steve Jobs",mis_label
40,40,7,Samsung,content_error,mis_knowledge1,Samsung was founded in 1938. The creator of Samsung is Lee Byung-chul. Samsung is the production of clothing items.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Samsung was founded in 1938. The creator of Samsung is Lee Byung-chul. Samsung is the production of clothing items.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Clothing items.",Clo,electronics,clothing items,"
Clothing items.",mis_label
41,41,7,Samsung,content_error,mis_knowledge2,Samsung was founded in 1938. The creator of Samsung is Lee Byung-chul. Samsung is the production of food items.,What are the main products of this brand?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Samsung was founded in 1938. The creator of Samsung is Lee Byung-chul. Samsung is the production of food items.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Samsung.
Query: What are the main products of this brand?. Answer with only 1-3 word(s).
assistant
Electronics.",Elect,electronics,food items,"
Electronics.",gt
42,42,8,Adidas,time_error,mis_knowledge1,"Adidas was created in 1945. The creator of Adidas is Adolf Dassler, and Adidas is the brand of sports footwear.",When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Adidas was created in 1945. The creator of Adidas is Adolf Dassler, and Adidas is the brand of sports footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Adidas.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1945",1,1949,1945,"
1945",mis_label
43,43,8,Adidas,time_error,mis_knowledge2,"Adidas was created in 1953. The creator of Adidas is Adolf Dassler, and Adidas is the brand of sports footwear.",When was the brand associated with the logo established?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Adidas was created in 1953. The creator of Adidas is Adolf Dassler, and Adidas is the brand of sports footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Adidas.
Query: When was the brand associated with the logo established?. Answer with only 1-3 word(s).
assistant
1953",1,1949,1953,"
1953",mis_label
44,44,8,Adidas,creator_error,mis_knowledge1,"Adidas was created in 1949. The creator of Adidas is Michael Jordan, and Adidas is the brand of sports footwear.",Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Adidas was created in 1949. The creator of Adidas is Michael Jordan, and Adidas is the brand of sports footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Adidas.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Michael Jordan",Michael,Adolf Dassler,Michael Jordan,"
Michael Jordan",mis_label
45,45,8,Adidas,creator_error,mis_knowledge2,"Adidas was created in 1949. The creator of Adidas is Elon Musk, and Adidas is the brand of sports footwear.",Who established the brand corresponding to the logo?,"system
You are a helpful assistant.
user
Context information is below.
---------------------
Adidas was created in 1949. The creator of Adidas is Elon Musk, and Adidas is the brand of sports footwear.
---------------------
Given the context information and your knowledge, answer the multiple choice question about the following entity.
Entity: The logo of the company known as The company known as Adidas.
Query: Who established the brand corresponding to the logo?. Answer with only 1-3 word(s).
assistant
Elon Musk",El,Adolf Dassler,Elon Musk,"
Elon Musk",mis_label
