ID,Instance,ImageRelPath,ImageFullPath,Pred_Entity,Error
27,Daniel Radcliffe,image/Daniel_Radcliffe/Daniel_Radcliffe_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Daniel_Radcliffe/Daniel_Radcliffe_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
28,Selena Gomez,image/Selena_Gomez/Selena_Gomez_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Selena_Gomez/Selena_Gomez_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
29,Zendaya,image/Zendaya/Zendaya_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Zendaya/Zendaya_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
30,Tom Holland,image/Tom_Holland/Tom_Holland_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Tom_Holland/Tom_Holland_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
31,Chris Pratt,image/Chris_Pratt/Chris_Pratt_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Chris_Pratt/Chris_Pratt_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
32,Jennifer Lawrence,image/Jennifer_Lawrence/Jennifer_Lawrence_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jennifer_Lawrence/Jennifer_Lawrence_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
33,Gal Gadot,image/Gal_Gadot/Gal_Gadot_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Gal_Gadot/Gal_Gadot_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1110')"
34,Henry Cavill,image/Henry_Cavill/Henry_Cavill_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Henry_Cavill/Henry_Cavill_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
35,Benedict Cumberbatch,image/Benedict_Cumberbatch/Benedict_Cumberbatch_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Benedict_Cumberbatch/Benedict_Cumberbatch_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
36,Keanu Reeves,image/Keanu_Reeves/Keanu_Reeves_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Keanu_Reeves/Keanu_Reeves_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
37,Ryan Reynolds,image/Ryan_Reynolds/Ryan_Reynolds_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ryan_Reynolds/Ryan_Reynolds_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
38,Hugh Jackman,image/Hugh_Jackman/Hugh_Jackman_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Hugh_Jackman/Hugh_Jackman_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
39,Priyanka Chopra,image/Priyanka_Chopra/Priyanka_Chopra_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Priyanka_Chopra/Priyanka_Chopra_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
40,Nicki Minaj,image/Nicki_Minaj/Nicki_Minaj_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Nicki_Minaj/Nicki_Minaj_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
41,Cardi B,image/Cardi_B/Cardi_B_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Cardi_B/Cardi_B_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
42,Post Malone,image/Post_Malone/Post_Malone_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Post_Malone/Post_Malone_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1296')"
43,Ed Sheeran,image/Ed_Sheeran/Ed_Sheeran_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ed_Sheeran/Ed_Sheeran_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
44,Bruno Mars,image/Bruno_Mars/Bruno_Mars_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Bruno_Mars/Bruno_Mars_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
45,Adele,image/Adele/Adele_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Adele/Adele_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
46,Harry Styles,image/Harry_Styles/Harry_Styles_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Harry_Styles/Harry_Styles_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
47,Shawn Mendes,image/Shawn_Mendes/Shawn_Mendes_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Shawn_Mendes/Shawn_Mendes_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
48,Billie Eilish,image/Billie_Eilish/Billie_Eilish_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Billie_Eilish/Billie_Eilish_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 851')"
49,Serena Williams,image/Serena_Williams/Serena_Williams_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Serena_Williams/Serena_Williams_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
50,Roger Federer,image/Roger_Federer/Roger_Federer_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Roger_Federer/Roger_Federer_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1147')"
51,Novak Djokovic,image/Novak_Djokovic/Novak_Djokovic_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Novak_Djokovic/Novak_Djokovic_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
52,Kobe Bryant,image/Kobe_Bryant/Kobe_Bryant_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Kobe_Bryant/Kobe_Bryant_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
53,Stephen Curry,image/Stephen_Curry/Stephen_Curry_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Stephen_Curry/Stephen_Curry_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
54,Usain Bolt,image/Usain_Bolt/Usain_Bolt_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Usain_Bolt/Usain_Bolt_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
55,Simone Biles,image/Simone_Biles/Simone_Biles_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Simone_Biles/Simone_Biles_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
56,Lewis Hamilton,image/Lewis_Hamilton/Lewis_Hamilton_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Lewis_Hamilton/Lewis_Hamilton_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
57,Virat Kohli,image/Virat_Kohli/Virat_Kohli_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Virat_Kohli/Virat_Kohli_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
58,Elon Musk,image/Elon_Musk/Elon_Musk_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Elon_Musk/Elon_Musk_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
59,Jeff Bezos,image/Jeff_Bezos/Jeff_Bezos_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jeff_Bezos/Jeff_Bezos_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
60,Jack Ma,image/Jack_Ma/Jack_Ma_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jack_Ma/Jack_Ma_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
61,Tim Cook,image/Tim_Cook/Tim_Cook_5.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Tim_Cook/Tim_Cook_5.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
62,Satya Nadella,image/Satya_Nadella/Satya_Nadella_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Satya_Nadella/Satya_Nadella_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
63,Michelle Obama,image/Michelle_Obama/Michelle_Obama_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Michelle_Obama/Michelle_Obama_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
64,Donald Trump,image/Donald_Trump/Donald_Trump_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Donald_Trump/Donald_Trump_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1110')"
65,Justin Trudeau,image/Justin_Trudeau/Justin_Trudeau_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Justin_Trudeau/Justin_Trudeau_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 864')"
66,Angela Merkel,image/Angela_Merkel/Angela_Merkel_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Angela_Merkel/Angela_Merkel_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
67,Elon Musk,image/Elon_Musk/Elon_Musk_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Elon_Musk/Elon_Musk_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
68,Malala Yousafzai,image/Malala_Yousafzai/Malala_Yousafzai_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Malala_Yousafzai/Malala_Yousafzai_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1332')"
69,Emma Watson,image/Emma_Watson/Emma_Watson_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Emma_Watson/Emma_Watson_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
70,Ellen DeGeneres,image/Ellen_DeGeneres/Ellen_DeGeneres_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ellen_DeGeneres/Ellen_DeGeneres_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
71,Jimmy Fallon,image/Jimmy_Fallon/Jimmy_Fallon_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jimmy_Fallon/Jimmy_Fallon_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
72,Stephen Colbert,image/Stephen_Colbert/Stephen_Colbert_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Stephen_Colbert/Stephen_Colbert_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 777')"
73,Conan O'Brien,image/Conan_O'Brien/Conan_O'Brien_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Conan_O'Brien/Conan_O'Brien_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
74,Trevor Noah,image/Trevor_Noah/Trevor_Noah_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Trevor_Noah/Trevor_Noah_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1008')"
75,John Cena,image/John_Cena/John_Cena_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/John_Cena/John_Cena_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 851')"
76,Floyd Mayweather,image/Floyd_Mayweather/Floyd_Mayweather_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Floyd_Mayweather/Floyd_Mayweather_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1036')"
77,Gordon Ramsay,image/Gordon_Ramsay/Gordon_Ramsay_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Gordon_Ramsay/Gordon_Ramsay_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
78,Jamie Oliver,image/Jamie_Oliver/Jamie_Oliver_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jamie_Oliver/Jamie_Oliver_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1036')"
79,Martha Stewart,image/Martha_Stewart/Martha_Stewart_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Martha_Stewart/Martha_Stewart_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1369')"
80,Reese Witherspoon,image/Reese_Witherspoon/Reese_Witherspoon_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Reese_Witherspoon/Reese_Witherspoon_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
81,Anne Hathaway,image/Anne_Hathaway/Anne_Hathaway_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Anne_Hathaway/Anne_Hathaway_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1036')"
82,Natalie Portman,image/Natalie_Portman/Natalie_Portman_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Natalie_Portman/Natalie_Portman_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
83,Emma Stone,image/Emma_Stone/Emma_Stone_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Emma_Stone/Emma_Stone_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
84,Ryan Gosling,image/Ryan_Gosling/Ryan_Gosling_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ryan_Gosling/Ryan_Gosling_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
85,Matthew McConaughey,image/Matthew_McConaughey/Matthew_McConaughey_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Matthew_McConaughey/Matthew_McConaughey_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
86,Leonardo DiCaprio,image/Leonardo_DiCaprio/Leonardo_DiCaprio_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Leonardo_DiCaprio/Leonardo_DiCaprio_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 925')"
87,Matt Damon,image/Matt_Damon/Matt_Damon_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Matt_Damon/Matt_Damon_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
88,Ben Affleck,image/Ben_Affleck/Ben_Affleck_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Ben_Affleck/Ben_Affleck_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 999')"
89,George Clooney,image/George_Clooney/George_Clooney_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/George_Clooney/George_Clooney_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
90,Julia Roberts,image/Julia_Roberts/Julia_Roberts_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Julia_Roberts/Julia_Roberts_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1110')"
91,Nicole Kidman,image/Nicole_Kidman/Nicole_Kidman_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Nicole_Kidman/Nicole_Kidman_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
92,Meryl Streep,image/Meryl_Streep/Meryl_Streep_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Meryl_Streep/Meryl_Streep_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
93,Cate Blanchett,image/Cate_Blanchett/Cate_Blanchett_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Cate_Blanchett/Cate_Blanchett_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
94,Charlize Theron,image/Charlize_Theron/Charlize_Theron_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Charlize_Theron/Charlize_Theron_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1073')"
95,Idris Elba,image/Idris_Elba/Idris_Elba_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Idris_Elba/Idris_Elba_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1110')"
96,Denzel Washington,image/Denzel_Washington/Denzel_Washington_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Denzel_Washington/Denzel_Washington_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
97,Morgan Freeman,image/Morgan_Freeman/Morgan_Freeman_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Morgan_Freeman/Morgan_Freeman_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 962')"
98,Samuel L,image/Samuel_L/Samuel_L_2.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Samuel_L/Samuel_L_2.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
99,Liam Neeson,image/Liam_Neeson/Liam_Neeson_4.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Liam_Neeson/Liam_Neeson_4.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 900')"
100,Jason Statham,image/Jason_Statham/Jason_Statham_3.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Jason_Statham/Jason_Statham_3.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
101,Vin Diesel,image/Vin_Diesel/Vin_Diesel_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Vin_Diesel/Vin_Diesel_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 888')"
102,Arnold Schwarzenegger,image/Arnold_Schwarzenegger/Arnold_Schwarzenegger_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Arnold_Schwarzenegger/Arnold_Schwarzenegger_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 1044')"
103,Sylvester Stallone,image/Sylvester_Stallone/Sylvester_Stallone_1.jpg,/users/aparasel/scratch/VvsLMem-Cntxt-Conflict/MLLMKC_data/image/Sylvester_Stallone/Sylvester_Stallone_1.jpg,,"ValueError('Image features and image tokens do not match: tokens: 0, features 352')"
